"Date","Month","Year","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
2018-01-15,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,30
2018-01-15,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,44
2018-01-15,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,27,43
2018-01-15,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,30
2018-01-15,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,24
2018-01-15,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,40
2018-01-15,1,2018,"Millbrook School","Wake",35.856111,-78.574167,NA,35
2018-01-15,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,30
2018-01-15,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,35
2018-01-16,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,52
2018-01-16,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,20
2018-01-16,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,69
2018-01-16,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,60
2018-01-16,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,61
2018-01-16,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,68
2018-01-16,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,29
2018-01-16,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,70
2018-01-16,1,2018,"Millbrook School","Wake",35.856111,-78.574167,24,58
2018-01-16,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,37
2018-01-16,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,53
2018-01-17,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,37
2018-01-17,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,24
2018-01-17,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,55
2018-01-17,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,54.5
2018-01-17,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,15
2018-01-17,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,40.5
2018-01-17,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,47.5
2018-01-17,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,38
2018-01-17,1,2018,"Linville Falls","Avery",35.972347,-81.933072,NA,19
2018-01-17,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,51
2018-01-17,1,2018,"Millbrook School","Wake",35.856111,-78.574167,29,56
2018-01-17,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,48.5
2018-01-17,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,66
2018-01-18,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,48
2018-01-18,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,30
2018-01-18,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,40
2018-01-18,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,45
2018-01-18,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,40
2018-01-18,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,35
2018-01-18,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,31
2018-01-18,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,34
2018-01-18,1,2018,"Millbrook School","Wake",35.856111,-78.574167,35,54
